wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc
-0.10899121921055115,-0.8797523169741077,-0.1573085548771244,-0.3129548347727182,-0.16190841403404338,-0.1748791603966299,-0.3466484794987489,-0.2911883543712596,-0.001759525496486745,-0.3820946064089192,-0.15451936829257354,0.8893834493218129,-0.18242977992595288,-1.2092713965755486,-0.4522226461845759,-0.6767028679624632,-0.5320649519555608,-0.11787807514701373,-0.04495997513106942,0.18784326795259612
-0.32647946383336013,-0.3817598134138964,-0.1573085548771244,-0.5022673728756928,-0.4933855894595309,-0.205644047276352,-0.43463017265864023,-0.5911943112083393,-0.5060300218409484,-0.8198037898805515,-0.24638642227721158,0.8893834493218129,-0.18242977992595288,0.058764259123873945,-0.29158176793812945,0.32535790733064657,0.23730096857218005,0.2617890863597055,0.6485026812905453,1.4358113475691692
-0.35754921306519,-0.8797523169741077,-0.1573085548771244,-0.5401298804962877,-0.6315010792201508,-0.20110496560557334,-0.43463017265864023,-0.5911943112083393,-0.27681615986619307,-0.7076022812409822,-0.3838195350382301,0.8893834493218129,0.7125437969118005,-1.2092713965755486,-0.29158176793812945,-0.6767028679624632,-0.5320649519555608,-0.5183897080451604,-0.30500847128917496,-0.3191625327788864
-0.35754921306519,-0.3817598134138964,-0.1573085548771244,-0.04791728142855371,-0.5900664322919649,-0.20413102005275913,-0.12669424659902054,-0.09118438314653975,-0.27681615986619307,-0.5793719842790069,-0.39925320010764925,0.8893834493218129,-0.6299165683448296,0.6337121054112362,0.1724918854341924,-0.6767028679624632,-0.5320649519555608,-0.5965564765446808,-0.6517397994999824,-0.6831736972713262
-0.3886189622970198,-0.3817598134138964,-0.1573085548771244,-0.4644048652550979,-0.47957404048346897,-0.205644047276352,-0.43463017265864023,-0.4911923255959794,-0.5060300218409484,-1.621243142526851,-0.3154704468736594,0.8893834493218129,-0.6299165683448296,0.4391749572466548,-0.2219707184704493,0.32535790733064657,0.23730096857218005,0.21533569237456154,0.21508852102703613,1.045811085386854
-0.4196887115288497,-0.3817598134138964,-0.1573085548771244,-0.2750923271521233,-0.4933855894595309,-0.20463536246062342,-0.39063932607869456,-0.09118438314653975,-0.36850170465609516,-0.793089144599996,-0.3389884126937267,-0.6966935537793711,-0.6299165683448296,0.8092343424621605,0.4045287142086848,0.32535790733064657,-0.27560964511298053,0.27630577180418764,-0.6517397994999824,-0.7286546182286086
-0.29540971460153026,-0.3817598134138964,-0.1573085548771244,-0.426542357634503,-0.521008687411655,-0.205644047276352,-0.39063932607869456,-0.4911923255959794,-0.230973387471242,-1.312116534775307,-0.3514823320356375,0.8893834493218129,-0.6299165683448296,0.4289361602227215,0.012966568784226046,0.32535790733064657,-0.019154338270400233,-0.4506451752413535,-0.5650569674472805,-0.38741121368717346
-0.4196887115288497,-0.8797523169741077,-0.1573085548771244,-0.5779923881168827,-0.6867472751243987,-0.205644047276352,-0.43463017265864023,-0.7911982824330592,-0.36850170465609516,-1.4342406274864175,-0.4213012930639624,0.8893834493218129,-0.6299165683448296,-1.2092713965755486,1.1006391963554991,-0.6767028679624632,-0.5320649519555608,-0.5991620353904425,-0.4783741353945787,-0.18266517096231238
-0.3886189622970198,-0.8797523169741077,-0.1573085548771244,-0.4644048652550979,-0.7143703730765226,-0.20060062319770905,-0.3026576329188032,-0.7911982824330592,-0.27681615986619307,1.9852339414963156,-0.46319266968095735,-1.4897320541404055,-0.6299165683448296,-1.2092713965755486,2.4928601564724646,-0.6767028679624632,-0.5320649519555608,-1.0290792621378055,-0.6517397994999824,-0.5921572564120345
-0.4196887115288497,-0.3817598134138964,-0.1573085548771244,-0.6158548957374776,-0.6315010792201508,-0.20261799282916623,-0.43463017265864023,-0.7911982824330592,-0.5060300218409484,1.9852339414963156,-0.39851826367577214,-1.4897320541404055,-0.6299165683448296,0.6410255318569029,0.7028617755992265,0.32535790733064657,-0.019154338270400233,-0.3333950224920727,-0.30500847128917496,-0.18266517096231238
